"train/global_step","dpo-beta2.0_lr5e-06 - train/rewards/chosen","dpo-beta2.0_lr5e-06 - train/rewards/chosen__MIN","dpo-beta2.0_lr5e-06 - train/rewards/chosen__MAX","dpo-beta2.0_lr5e-06 - _step","dpo-beta2.0_lr5e-06 - _step__MIN","dpo-beta2.0_lr5e-06 - _step__MAX","dpo-beta1.0_lr5e-06 - train/rewards/chosen","dpo-beta1.0_lr5e-06 - train/rewards/chosen__MIN","dpo-beta1.0_lr5e-06 - train/rewards/chosen__MAX","dpo-beta1.0_lr5e-06 - _step","dpo-beta1.0_lr5e-06 - _step__MIN","dpo-beta1.0_lr5e-06 - _step__MAX","qwen25-7b-dpo-socialiqa - train/rewards/chosen","qwen25-7b-dpo-socialiqa - train/rewards/chosen__MIN","qwen25-7b-dpo-socialiqa - train/rewards/chosen__MAX","qwen25-7b-dpo-socialiqa - _step","qwen25-7b-dpo-socialiqa - _step__MIN","qwen25-7b-dpo-socialiqa - _step__MAX"
"260","4.168400979042053","4.168400979042053","4.168400979042053","30","30","30","3.3431174039840696","3.3431174039840696","3.3431174039840696","30","30","30","1.8027825953128438","0.6801329814828933","2.969407180696726","26","26","26"
"270","3.853200364112854","3.853200364112854","3.853200364112854","31","31","31","3.078038477897644","3.078038477897644","3.078038477897644","31","31","31","1.6804777147558827","0.6443678095936776","2.786864472180605","27","27","27"
"280","3.7926458597183226","3.7926458597183226","3.7926458597183226","32","32","32","3.015266513824463","3.015266513824463","3.015266513824463","32","32","32","1.5034750825415053","0.5584360348060727","2.369887425750494","28","28","28"
"290","3.743070101737976","3.743070101737976","3.743070101737976","33","33","33","3.049649107456207","3.049649107456207","3.049649107456207","33","33","33","1.456345149346938","0.6310354868881405","2.1188215827569366","29","29","29"
"300","3.4422518253326415","3.4422518253326415","3.4422518253326415","34","34","34","2.8690969467163088","2.8690969467163088","2.8690969467163088","34","34","34","1.3113136030733588","0.5296835418790579","1.8867053202353419","30","30","30"
"310","3.7513100147247314","3.7513100147247314","3.7513100147247314","36","36","36","3.0668903470039366","3.0668903470039366","3.0668903470039366","36","36","36","1.5267250533797778","0.5776865075225942","2.4050173623487354","31","31","31"
"320","4.072017478942871","4.072017478942871","4.072017478942871","37","37","37","3.0851512789726256","3.0851512789726256","3.0851512789726256","37","37","37","1.5255174114213634","0.5875166294164955","2.3346470817923546","32","32","32"
"330","4.309380960464478","4.309380960464478","4.309380960464478","38","38","38","3.2163638710975646","3.2163638710975646","3.2163638710975646","38","38","38","1.5062705846037714","0.5715515756979584","2.304340666392818","33","33","33"
"340","4.431527256965637","4.431527256965637","4.431527256965637","39","39","39","3.234283912181854","3.234283912181854","3.234283912181854","39","39","39","1.728111586580053","0.6193911127280444","2.777864654362202","34","34","34"
"350","4.113321089744568","4.113321089744568","4.113321089744568","40","40","40","2.858177161216736","2.858177161216736","2.858177161216736","40","40","40","1.5323377508049212","0.4956624284386635","2.487428442388773","35","35","35"
"360","4.933880376815796","4.933880376815796","4.933880376815796","42","42","42","3.3553582429885864","3.3553582429885864","3.3553582429885864","42","42","42","1.894891176217546","0.7531672259792686","2.9569493390619757","36","36","36"
"370","4.412043952941895","4.412043952941895","4.412043952941895","43","43","43","3.0735202074050902","3.0735202074050902","3.0735202074050902","43","43","43","1.5516664219088854","0.5887820632196963","2.2934939857572316","37","37","37"
"380","4.404999136924744","4.404999136924744","4.404999136924744","44","44","44","3.0470030903816223","3.0470030903816223","3.0470030903816223","44","44","44","1.2479825692872206","0.5074320282787085","1.668620166927576","38","38","38"
"390","4.466745805740357","4.466745805740357","4.466745805740357","45","45","45","3.2547432661056517","3.2547432661056517","3.2547432661056517","45","45","45","1.4064313211323072","0.6593255227897317","1.9417181503027678","39","39","39"
"400","4.074296689033508","4.074296689033508","4.074296689033508","46","46","46","2.8236704111099242","2.8236704111099242","2.8236704111099242","46","46","46","1.0573294861242173","0.4028000865131617","1.6043004345148801","40","40","40"
"410","4.461851119995117","4.461851119995117","4.461851119995117","48","48","48","2.9707194328308106","2.9707194328308106","2.9707194328308106","48","48","48","1.252911405575772","0.5811258466914296","1.754601013287902","42","42","42"
"420","4.09846305847168","4.09846305847168","4.09846305847168","49","49","49","2.831461799144745","2.831461799144745","2.831461799144745","49","49","49","1.1563005220144988","0.5176359524950385","1.6179824367165565","43","43","43"
"430","4.144600462913513","4.144600462913513","4.144600462913513","50","50","50","2.717098319530487","2.717098319530487","2.717098319530487","50","50","50","1.124115595718225","0.4899559114128351","1.6256583092734218","44","44","44"
