"train/global_step","dpo-beta2.0_lr5e-06 - train/rewards/margins","dpo-beta2.0_lr5e-06 - train/rewards/margins__MIN","dpo-beta2.0_lr5e-06 - train/rewards/margins__MAX","dpo-beta2.0_lr5e-06 - _step","dpo-beta2.0_lr5e-06 - _step__MIN","dpo-beta2.0_lr5e-06 - _step__MAX","dpo-beta1.0_lr5e-06 - train/rewards/margins","dpo-beta1.0_lr5e-06 - train/rewards/margins__MIN","dpo-beta1.0_lr5e-06 - train/rewards/margins__MAX","dpo-beta1.0_lr5e-06 - _step","dpo-beta1.0_lr5e-06 - _step__MIN","dpo-beta1.0_lr5e-06 - _step__MAX","qwen25-7b-dpo-socialiqa - train/rewards/margins","qwen25-7b-dpo-socialiqa - train/rewards/margins__MIN","qwen25-7b-dpo-socialiqa - train/rewards/margins__MAX","qwen25-7b-dpo-socialiqa - _step","qwen25-7b-dpo-socialiqa - _step__MIN","qwen25-7b-dpo-socialiqa - _step__MAX"
"530","13.149291253089904","13.149291253089904","13.149291253089904","62","62","62","9.804604065418243","9.804604065418243","9.804604065418243","62","62","62","7.006902897854647","4.17394203171134","10.58380580097437","54","54","54"
"540","13.090616250038147","13.090616250038147","13.090616250038147","63","63","63","9.611777400970459","9.611777400970459","9.611777400970459","63","63","63","6.901536790033181","4.024923659861088","10.599745178222657","55","55","55"
"550","12.6445965051651","12.6445965051651","12.6445965051651","64","64","64","9.521014773845673","9.521014773845673","9.521014773845673","64","64","64","6.866292934616408","4.111989995837211","10.481084781885148","56","56","56"
"560","12.483860731124878","12.483860731124878","12.483860731124878","66","66","66","9.268466329574585","9.268466329574585","9.268466329574585","66","66","66","6.805351168910662","4.142907512187958","10.29961696267128","57","57","57"
"570","14.338416862487794","14.338416862487794","14.338416862487794","67","67","67","10.539993572235108","10.539993572235108","10.539993572235108","67","67","67","7.328647536039352","4.4611715346574785","10.933644205331802","58","58","58"
"580","12.612817335128785","12.612817335128785","12.612817335128785","68","68","68","9.291899931430816","9.291899931430816","9.291899931430816","68","68","68","6.5641418645779295","4.043274492025375","9.770524436235428","59","59","59"
"590","13.015802836418152","13.015802836418152","13.015802836418152","69","69","69","9.778230059146882","9.778230059146882","9.778230059146882","69","69","69","6.890121421217917","4.136604538559913","10.327687257528305","60","60","60"
"600","13.342080783843993","13.342080783843993","13.342080783843993","70","70","70","9.907240605354309","9.907240605354309","9.907240605354309","70","70","70","6.966139760613442","4.20101121366024","10.532324656844139","61","61","61"
"610","13.077864122390746","13.077864122390746","13.077864122390746","72","72","72","9.636547875404357","9.636547875404357","9.636547875404357","72","72","72","6.690253422657649","4.097648578882217","10.009283369779586","63","63","63"
"620","13.533738398551941","13.533738398551941","13.533738398551941","73","73","73","9.969767308235168","9.969767308235168","9.969767308235168","73","73","73","7.115213734904924","4.3722979694604875","10.653293025493621","64","64","64"
"630","13.393179726600646","13.393179726600646","13.393179726600646","74","74","74","10.035391438007355","10.035391438007355","10.035391438007355","74","74","74","7.060527358949185","4.163853846490383","10.811233007907868","65","65","65"
"640","13.360285210609437","13.360285210609437","13.360285210609437","75","75","75","9.929923713207245","9.929923713207245","9.929923713207245","75","75","75","7.1267598052819565","4.333333384990692","10.716730678081513","66","66","66"
"650","12.987401580810547","12.987401580810547","12.987401580810547","76","76","76","9.739814579486847","9.739814579486847","9.739814579486847","76","76","76","6.910862848162651","4.112169487774372","10.473262056708336","67","67","67"
"660","13.042000222206116","13.042000222206116","13.042000222206116","78","78","78","9.687598037719727","9.687598037719727","9.687598037719727","78","78","78","6.893613153199354","4.040076246857643","10.509480401873589","68","68","68"
"661","21.702698135375975","21.702698135375975","21.702698135375975","79","79","79","15.49073486328125","15.49073486328125","15.49073486328125","79","79","79","11.164208253224691","6.99978723526001","16.7751672744751","69","69","69"
